model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
vgg19,7,19,1,0,bert,7,11,1,64,6653.5,7223.19,1413.6547718237293
vgg19,2,18,1,0,bert,1,10,1,32,14514.5,16079.7,3110.1714663342923
vgg19,5,13,1,0,bert,4,9,1,8,7507.5,7612.91,477.84443273935926
vgg19,13,21,1,0,bert,4,10,1,8,8891.5,9081.9,1112.8398671866496
vgg19,1,7,1,0,bert,1,10,1,32,13623.0,13684.88,370.64023742707707
vgg19,6,20,1,0,bert,2,11,1,64,13673.5,13950.23,780.2753341609614
vgg19,15,21,1,0,bert,0,8,1,16,11594.5,11735.03,478.0314938369647
vgg19,11,19,1,0,bert,7,11,1,16,6076.0,6115.47,241.5814336823093
vgg19,17,21,1,0,bert,1,8,1,32,10679.0,10767.96,383.93525287475234
vgg19,6,13,1,0,bert,2,8,1,32,9301.0,9598.84,1393.9272199078403
vgg19,6,21,1,0,bert,5,10,1,8,7530.0,7693.47,709.5951585939689
vgg19,8,15,1,0,bert,1,5,1,16,6060.0,6144.37,372.8784159749663
vgg19,12,19,1,0,bert,4,10,1,8,8869.5,8915.17,313.157470132839
vgg19,5,16,1,0,bert,7,11,1,16,6107.5,6280.74,789.5896987676574
vgg19,2,18,1,0,bert,0,10,1,16,14452.5,14542.77,418.16819235805116
vgg19,11,16,1,0,bert,4,10,1,8,8898.0,8942.85,349.27526036065024
vgg19,15,21,1,0,bert,0,6,1,8,8825.0,9004.08,575.8036241636553
vgg19,14,20,1,0,bert,2,6,1,32,6384.0,6544.22,968.5222617988707
vgg19,13,21,1,0,bert,7,11,1,64,6433.0,6532.83,786.3524026160281
vgg19,10,15,1,0,bert,4,8,1,32,6421.0,6545.55,823.3798197065556
vgg19,3,7,1,0,bert,3,8,1,32,7851.0,7915.78,287.46782706939575
vgg19,8,14,1,0,bert,0,7,1,8,10223.5,10397.79,798.5109303572494
vgg19,15,20,1,0,bert,3,9,1,16,8807.0,8975.23,417.584000052684
vgg19,2,13,1,0,bert,3,10,1,8,10235.5,10279.42,260.43114944261185
vgg19,6,19,1,0,bert,3,8,1,64,7836.0,7901.34,336.03167172158044
vgg19,10,21,1,0,bert,3,8,1,64,8045.5,8054.79,455.6534273984999
vgg19,10,16,1,0,bert,1,5,1,32,6400.0,6450.26,290.3470550909721
vgg19,13,18,1,0,bert,2,11,1,16,12924.0,13049.26,528.3177381084228
vgg19,15,21,1,0,bert,3,8,1,64,7681.0,7748.28,233.9055826610387
vgg19,3,15,1,0,bert,6,11,1,32,7636.0,7676.88,238.6753141822589
vgg19,7,16,1,0,bert,0,5,1,64,7670.5,7724.69,305.66179659878986
vgg19,17,21,1,0,bert,7,11,1,64,6264.5,6287.31,130.75952699516773
vgg19,4,16,1,0,bert,3,7,1,8,5934.5,6019.61,716.2413126174724
vgg19,4,21,1,0,bert,6,10,1,8,5948.5,6015.49,321.4648812856546
vgg19,10,15,1,0,bert,0,5,1,8,7427.5,7516.51,282.24317511677765
vgg19,7,13,1,0,bert,2,8,1,32,9264.0,9274.65,71.26561232459875
vgg19,2,20,1,0,bert,4,10,1,8,8837.5,8881.92,238.6705964294722
vgg19,13,20,1,0,bert,7,11,1,64,6346.5,6396.27,239.35658984034674
vgg19,2,20,1,0,bert,1,11,1,32,15160.0,15200.77,177.0717851607082
vgg19,12,16,1,0,bert,2,9,1,64,10744.0,10899.92,572.4453804512706
vgg19,13,17,1,0,bert,1,11,1,16,14384.0,14412.83,119.47410221466407
vgg19,1,6,1,0,bert,2,6,1,16,6011.0,6054.37,271.66894025633474
vgg19,17,21,1,0,bert,7,11,1,8,6046.5,6065.52,75.35933651512599
vgg19,6,17,1,0,bert,3,9,1,16,8799.5,8866.93,266.49462489888987
vgg19,4,13,1,0,bert,4,8,1,8,6067.0,6209.92,467.40983472751196
vgg19,9,21,1,0,bert,1,6,1,16,7518.5,7687.1,619.4511199441002
vgg19,8,18,1,0,bert,3,7,1,16,6154.5,6299.31,575.7230010169822
vgg19,17,21,1,0,bert,6,10,1,16,6078.0,6142.21,462.20775188220284
vgg19,7,13,1,0,bert,5,11,1,32,9359.0,9628.09,1073.5821262949564
vgg19,12,19,1,0,bert,5,11,1,32,9416.0,9468.1,220.38409652241248
vgg19,11,20,1,0,bert,4,9,1,32,7886.5,8193.26,1128.3727276037826
vgg19,3,10,1,0,bert,3,7,1,32,6370.5,6389.43,89.07864558916462
vgg19,9,14,1,0,bert,3,8,1,64,7814.0,7949.26,626.0481390436362
vgg19,5,9,1,0,bert,1,7,1,32,9220.5,9321.94,770.8009447321663
vgg19,12,16,1,0,bert,3,10,1,32,10785.5,12095.17,2570.1019709536818
vgg19,3,8,1,0,bert,2,7,1,32,7781.5,8191.74,1108.423904650202
vgg19,16,20,1,0,bert,4,11,1,16,10210.5,10680.23,1813.0303905616145
vgg19,2,12,1,0,bert,3,9,1,64,9304.5,9577.88,1134.7535704283994
vgg19,13,17,1,0,bert,0,6,1,16,8844.5,9679.93,2350.6600232913315
vgg19,1,9,1,0,bert,5,10,1,16,7700.0,8594.67,1897.8048690790104
vgg19,14,20,1,0,bert,4,11,1,64,10794.0,11531.55,1898.802651014581
vgg19,13,18,1,0,bert,4,8,1,64,6351.0,6491.88,846.0472596728863
vgg19,8,12,1,0,bert,6,10,1,16,6049.5,6302.99,819.9028661372027
vgg19,0,4,1,0,bert,3,7,1,64,6315.5,6328.28,52.21361508265828
vgg19,2,12,1,0,bert,2,8,1,8,10429.5,11038.2,2878.675278665519
vgg19,15,21,1,0,bert,2,9,1,8,12396.0,13576.4,2069.276926851503
vgg19,14,19,1,0,bert,2,11,1,16,13002.0,13684.94,1877.1666884962558
vgg19,17,21,1,0,bert,0,8,1,64,12177.0,12598.16,1476.4356587403324
vgg19,16,21,1,0,bert,7,11,1,16,6101.5,6246.03,781.3033400031003
vgg19,7,11,1,0,bert,3,9,1,16,8825.0,8944.87,791.6481877071406
vgg19,12,21,1,0,bert,0,10,1,16,14370.0,15081.33,1970.693324974741
vgg19,14,18,1,0,bert,6,11,1,32,9227.5,9921.91,1982.9117736046655
vgg19,17,21,1,0,bert,6,10,1,16,7205.5,8010.65,2050.6563114037417
vgg19,6,21,1,0,bert,4,8,1,8,7176.0,7481.26,1203.77574007786
vgg19,4,9,1,0,bert,7,11,1,8,7138.0,7286.39,775.3816079196101
vgg19,0,21,1,0,bert,2,8,1,32,9457.0,10311.33,1400.8827292460992
vgg19,12,21,1,0,bert,6,10,1,8,7232.0,7311.08,698.6787198705855
vgg19,10,17,1,0,bert,1,10,1,64,16111.0,16662.77,1628.4280325209338
vgg19,17,21,1,0,bert,3,10,1,64,12583.0,12648.68,1237.116323390812
vgg19,4,11,1,0,bert,6,10,1,64,7442.0,7331.38,956.5905266100015
vgg19,4,14,1,0,bert,5,11,1,32,9319.5,10232.32,2448.7174964866813
vgg19,2,13,1,0,bert,3,11,1,8,11757.5,13076.33,2928.1737689385855
vgg19,2,6,1,0,bert,0,9,1,32,13630.0,14018.63,1400.6481831994784
vgg19,4,9,1,0,bert,3,11,1,8,11674.5,12215.21,1297.3352403677316
vgg19,10,20,1,0,bert,0,11,1,32,16959.0,19771.78,4338.141704877792
vgg19,14,20,1,0,bert,0,5,1,16,7462.0,7761.52,1465.549593019629
vgg19,7,16,1,0,bert,2,11,1,16,12973.5,13199.88,896.3665129845047
vgg19,2,12,1,0,bert,4,9,1,8,7502.0,7897.02,1222.2237354919926
vgg19,15,21,1,0,bert,4,11,1,32,10742.0,12235.49,2948.891759610719
vgg19,5,16,1,0,bert,3,10,1,64,10779.5,11848.46,2708.5329328623643
vgg19,8,14,1,0,bert,4,9,1,8,7434.5,7659.73,987.6035728469192
vgg19,14,18,1,0,bert,0,4,1,32,6340.0,6380.13,291.47492705205366
vgg19,11,20,1,0,bert,1,8,1,64,10964.0,11786.5,1651.2464897767384
vgg19,8,13,1,0,bert,1,10,1,8,15365.0,15781.71,1309.861567456653
vgg19,13,20,1,0,bert,5,11,1,8,10422.5,10551.86,540.5447811236364
vgg19,5,21,1,0,bert,2,10,1,64,12364.0,13667.31,2135.345389837438
vgg19,17,21,1,0,bert,7,11,1,16,7149.5,7664.49,2221.603058581798
vgg19,8,21,1,0,bert,1,7,1,32,9344.5,9519.17,472.49696411723113
vgg19,14,19,1,0,bert,2,11,1,8,12969.5,13243.1,1137.6682161333329
vgg19,15,19,1,0,bert,7,11,1,32,6442.5,6962.64,1457.5113071259516
vgg19,0,6,1,0,bert,1,6,1,64,7805.5,7812.66,66.97286316113416
vgg19,7,14,1,0,bert,0,9,1,8,15620.0,16990.27,3410.3125805562163
vgg19,15,21,1,0,bert,0,8,1,8,13781.0,14144.21,1337.3618904021455
vgg19,9,18,1,0,bert,2,6,1,32,7488.5,7512.99,233.16090988842882
vgg19,9,13,1,0,bert,2,8,1,16,10490.0,10944.32,1495.178737676536
vgg19,15,20,1,0,bert,3,9,1,32,10805.0,11184.03,2412.0256153490577
vgg19,6,16,1,0,bert,5,11,1,8,8882.5,9389.27,1557.6448302164395
vgg19,14,18,1,0,bert,2,8,1,16,8796.5,8914.53,789.0288011853559
vgg19,15,20,1,0,bert,2,8,1,32,9257.5,9621.71,1181.6205168750246
vgg19,16,20,1,0,bert,6,11,1,8,8852.0,9067.22,773.0347673940676
vgg19,9,13,1,0,bert,5,11,1,8,8866.5,10160.52,2490.619764155099
vgg19,16,20,1,0,bert,6,10,1,32,6511.0,7265.8,1636.9508667030907
vgg19,0,12,1,0,bert,3,10,1,16,10254.0,10845.99,1873.180015348231
vgg19,4,19,1,0,bert,2,8,1,8,8806.0,8871.25,403.36188156542505
vgg19,7,17,1,0,bert,6,11,1,32,7848.0,8124.64,1108.4108851865358
vgg19,16,20,1,0,bert,5,11,1,16,8887.5,9526.48,1798.8336581240633
vgg19,16,20,1,0,bert,3,10,1,16,10611.5,11936.82,2198.971124776312
vgg19,5,21,1,0,bert,7,11,1,16,6104.5,6369.18,964.3670087679275
vgg19,6,20,1,0,bert,4,9,1,8,8840.0,8717.75,962.2874557532172
vgg19,3,19,1,0,bert,6,10,1,32,7511.0,7674.08,831.6107103687399
vgg19,4,12,1,0,bert,2,9,1,32,12680.5,12916.03,1904.419236696584
vgg19,5,13,1,0,bert,0,11,1,32,16586.5,17279.26,1821.813638218794
vgg19,4,20,1,0,bert,2,7,1,32,9218.5,9338.64,766.4385366094269
vgg19,17,21,1,0,bert,2,9,1,8,12137.5,13200.41,2546.444282111823
vgg19,13,21,1,0,bert,2,9,1,8,10191.0,10960.25,2017.1337554807812
vgg19,7,18,1,0,bert,6,11,1,32,7820.0,8019.91,1161.5823353942674
vgg19,0,8,1,0,bert,4,9,1,32,7897.0,7935.89,188.13170360149297
vgg19,0,4,1,0,bert,4,9,1,8,7455.5,7558.55,746.72159972777
vgg19,9,18,1,0,bert,2,6,1,32,6383.0,6517.24,675.6198061039952
vgg19,13,20,1,0,bert,6,10,1,64,6430.0,6493.28,449.4517566992035
vgg19,0,14,1,0,bert,4,11,1,32,10810.0,11229.56,1430.596136720633
vgg19,10,21,1,0,bert,2,8,1,64,9185.0,9209.46,76.05490385241441
vgg19,16,21,1,0,bert,7,11,1,32,6237.5,6257.5,85.39303250265797
vgg19,16,20,1,0,bert,3,10,1,32,10770.5,10987.97,604.0484989634525
vgg19,10,18,1,0,bert,4,10,1,8,8947.0,9068.44,465.43180639058176
vgg19,12,20,1,0,bert,3,9,1,64,9385.0,9652.08,888.0744302140446
vgg19,15,21,1,0,bert,6,10,1,32,6369.0,6407.6,162.97797397194506
vgg19,16,20,1,0,bert,3,9,1,32,9309.5,9364.15,221.17108197049632
vgg19,3,11,1,0,bert,6,10,1,16,6276.5,6485.91,405.19886710108165
vgg19,7,21,1,0,bert,2,7,1,8,7463.0,7821.25,1139.4670541529492
vgg19,11,15,1,0,bert,4,11,1,16,10288.0,11345.41,2315.09159255093
vgg19,12,16,1,0,bert,7,11,1,64,6522.5,7130.22,1661.7540165740536
vgg19,6,16,1,0,bert,1,6,1,64,7827.0,7961.62,619.7098963224647
vgg19,6,20,1,0,bert,2,8,1,32,9380.0,10031.5,1530.1315008848096
vgg19,17,21,1,0,bert,2,8,1,64,9329.0,9614.3,1130.6366038652736
vgg19,14,19,1,0,bert,5,11,1,16,9072.0,9670.38,1883.8105041643648
vgg19,9,18,1,0,bert,4,11,1,16,10223.5,10706.4,1553.0448995441184
vgg19,17,21,1,0,bert,5,11,1,32,9226.5,9432.36,761.0636441192024
vgg19,0,11,1,0,bert,6,11,1,8,7440.0,7495.97,281.91745086106323
vgg19,15,21,1,0,bert,7,11,1,64,6448.5,7366.82,1815.644763603277
