query_id,model_id,bs,seq_len,search_times,latency
1,2,32,0,0,144.66285705566406
2,1,32,0,1,162.87660598754883
3,2,16,0,1,156.58926963806152
5,1,4,0,1,122.9238510131836
4,2,8,0,1,132.01093673706055
6,2,8,0,0,145.5669403076172
7,2,4,0,0,89.57529067993164
11,1,4,0,1,89.63513374328613
8,2,4,0,1,126.05547904968262
9,2,8,0,2,169.05617713928223
10,2,16,0,0,-1
12,1,32,0,0,-1
13,1,16,0,1,116.55592918395996
14,1,4,0,0,117.44260787963867
15,1,8,0,0,110.32533645629883
16,1,8,0,1,107.9099178314209
17,2,16,0,1,75.21200180053711
19,1,8,0,1,118.09945106506348
18,2,16,0,1,120.61715126037598
20,2,32,0,0,-1
21,2,16,0,0,-1
22,1,8,0,1,105.2713394165039
24,2,8,0,1,81.76350593566895
23,1,16,0,0,126.70111656188965
25,1,4,0,2,138.79704475402832
26,2,16,0,2,122.66349792480469
27,1,32,0,2,134.14621353149414
29,1,4,0,1,102.69379615783691
28,2,16,0,1,114.89200592041016
30,2,16,0,0,-1
31,1,16,0,0,-1
32,1,16,0,1,98.90317916870117
33,1,4,0,0,90.20876884460449
34,1,8,0,0,97.45383262634277
35,1,4,0,0,84.80954170227051
36,1,8,0,0,66.72096252441406
37,1,16,0,0,89.49756622314453
38,1,4,0,0,95.43228149414062
39,1,8,0,0,110.05759239196777
40,1,4,0,1,77.59761810302734
42,2,4,0,1,48.51269721984863
41,1,4,0,1,89.63394165039062
43,2,8,0,1,72.16596603393555
44,1,4,0,0,83.24265480041504
45,1,32,0,0,118.68619918823242
46,1,32,0,0,-1
47,1,8,0,0,155.16042709350586
48,1,8,0,1,161.02099418640137
52,2,32,0,1,102.46801376342773
49,1,16,0,2,159.57093238830566
50,1,32,0,0,-1
51,1,32,0,0,-1
53,2,4,0,0,-1
54,2,16,0,0,-1
55,1,8,0,1,123.08907508850098
56,1,32,0,0,-1
57,2,16,0,0,-1
58,1,32,0,0,-1
60,1,16,0,1,36.43965721130371
59,2,4,0,1,71.92301750183105
61,1,32,0,0,120.01228332519531
62,2,32,0,0,131.7574977874756
63,1,32,0,0,-1
64,1,4,0,1,157.36126899719238
65,2,32,0,0,-1
66,2,4,0,0,-1
67,1,16,0,1,160.32004356384277
69,1,4,0,1,169.722318649292
68,2,32,0,1,170.87864875793457
70,1,32,0,0,-1
72,1,4,0,1,85.23178100585938
71,2,8,0,1,93.03855895996094
73,1,8,0,1,90.83080291748047
74,2,8,0,1,86.45796775817871
75,1,32,0,0,129.46009635925293
76,1,32,0,0,-1
77,1,8,0,0,-1
78,2,8,0,0,-1
79,2,4,0,0,-1
80,1,16,0,1,73.85087013244629
81,2,4,0,1,69.09728050231934
82,2,32,0,0,81.08735084533691
83,2,8,0,0,-1
84,1,16,0,0,-1
85,1,16,0,0,-1
86,2,16,0,0,-1
87,1,4,0,0,54.97169494628906
89,2,8,0,0,40.082454681396484
88,1,8,0,1,77.92496681213379
90,2,8,0,1,62.348127365112305
91,1,4,0,2,92.67377853393555
92,2,16,0,2,130.78665733337402
93,2,4,0,0,-1
94,2,16,0,0,-1
95,1,32,0,0,-1
96,2,16,0,0,-1
97,1,32,0,0,-1
98,1,4,0,1,96.05932235717773
99,1,4,0,1,118.95418167114258
100,2,32,0,1,91.08567237854004
101,2,32,0,0,-1
102,1,16,0,0,-1
103,1,16,0,1,95.8714485168457
104,1,16,0,0,33.43772888183594
105,1,4,0,0,54.425954818725586
106,2,8,0,0,52.95848846435547
107,1,16,0,0,52.20794677734375
108,1,8,0,0,53.8172721862793
109,1,32,0,1,99.96652603149414
110,2,8,0,1,97.6095199584961
111,1,32,0,0,138.1094455718994
112,1,32,0,0,-1
113,2,16,0,0,69.01764869689941
114,2,8,0,0,70.04261016845703
115,1,16,0,0,26.985883712768555
116,2,8,0,0,58.29930305480957
117,2,8,0,0,80.21426200866699
119,1,4,0,1,119.02523040771484
118,2,32,0,1,136.7354393005371
120,1,4,0,1,161.8061065673828
121,2,32,0,1,156.5532684326172
122,2,8,0,0,178.67088317871094
123,2,32,0,0,-1
124,1,4,0,1,95.43013572692871
125,2,8,0,1,78.2022476196289
126,2,32,0,0,99.91812705993652
127,2,32,0,0,-1
128,1,4,0,0,65.19770622253418
129,1,16,0,0,52.5965690612793
130,2,32,0,0,96.02999687194824
131,2,16,0,0,123.46434593200684
