query_id,model_id,bs,seq_len,search_times,latency
1,6,32,8,0,54.98075485229492
2,6,32,64,0,44.07382011413574
3,6,16,16,0,11.904716491699219
4,1,4,0,0,28.441667556762695
5,6,8,32,0,32.95493125915527
6,1,16,0,0,26.827573776245117
7,6,16,64,0,16.002416610717773
8,6,8,64,0,12.933015823364258
9,6,16,8,0,13.647317886352539
10,1,32,0,0,51.4683723449707
11,1,16,0,0,75.6375789642334
12,1,4,0,0,81.45332336425781
13,1,8,0,0,72.15142250061035
14,1,8,0,0,44.65055465698242
16,1,16,0,0,44.3878173828125
15,6,16,64,0,46.47397994995117
17,1,8,0,0,53.95364761352539
19,1,8,0,1,47.31941223144531
18,6,32,32,1,59.32164192199707
20,1,16,0,1,66.97845458984375
21,6,8,16,1,66.21956825256348
22,1,32,0,1,115.3874397277832
23,6,8,16,1,78.27901840209961
24,6,32,64,0,80.44862747192383
28,1,4,0,1,43.29657554626465
25,6,4,64,1,85.29496192932129
26,6,8,8,2,97.8848934173584
29,1,8,0,1,65.05155563354492
27,6,8,32,1,75.93870162963867
30,1,4,0,0,51.320791244506836
31,1,8,0,0,33.5538387298584
32,1,16,0,0,56.41341209411621
33,1,4,0,0,62.94131278991699
34,1,8,0,0,78.28044891357422
35,1,4,0,0,31.623125076293945
36,1,4,0,0,35.07518768310547
37,6,4,32,0,30.40909767150879
39,1,32,0,1,68.48883628845215
38,6,4,64,1,80.16467094421387
40,1,32,0,0,101.26090049743652
41,1,8,0,0,111.51456832885742
42,1,8,0,1,108.65306854248047
46,6,32,32,1,50.14610290527344
43,1,16,0,0,103.10816764831543
44,1,32,0,0,-1
45,1,32,0,0,-1
47,1,4,0,1,74.64194297790527
48,6,16,8,1,58.042049407958984
49,6,32,32,0,44.34561729431152
50,6,8,32,0,52.34694480895996
51,6,4,8,0,41.419029235839844
52,1,8,0,0,30.40790557861328
53,1,32,0,0,58.64357948303223
54,6,32,8,0,53.41958999633789
55,6,32,8,0,40.44651985168457
56,1,16,0,0,27.356386184692383
57,1,32,0,0,66.64299964904785
58,1,32,0,0,104.30192947387695
59,6,32,8,0,79.53381538391113
60,6,4,16,2,110.39924621582031
61,1,32,0,1,118.93320083618164
62,6,4,8,1,108.50238800048828
63,1,8,0,0,-1
64,6,8,8,0,-1
65,6,32,8,0,-1
66,1,32,0,0,-1
67,1,8,0,1,75.17647743225098
68,6,8,32,1,35.49766540527344
69,1,8,0,1,49.61419105529785
70,6,16,8,1,48.66170883178711
71,6,32,64,0,49.1633415222168
72,6,8,16,0,35.13073921203613
73,6,4,16,0,13.422727584838867
74,1,16,0,0,26.69358253479004
75,6,16,8,0,32.276153564453125
76,1,8,0,0,27.124404907226562
77,6,8,32,0,20.69234848022461
78,1,8,0,0,29.418468475341797
79,1,4,0,0,34.95144844055176
80,6,16,32,0,27.440786361694336
81,6,32,64,0,36.98015213012695
82,6,16,8,0,46.41866683959961
84,1,8,0,0,37.65511512756348
83,6,32,64,0,40.34709930419922
85,1,32,0,0,80.01303672790527
86,1,4,0,0,76.98440551757812
87,1,4,0,1,92.53764152526855
88,6,32,32,1,64.65435028076172
89,6,8,64,0,75.7148265838623
90,1,16,0,0,50.73213577270508
91,1,16,0,1,67.65437126159668
93,6,8,8,1,54.76975440979004
92,1,4,0,1,73.10891151428223
94,6,8,8,1,43.613433837890625
95,1,4,0,0,50.283193588256836
96,1,16,0,0,56.261301040649414
97,1,32,0,0,93.5051441192627
98,1,32,0,0,-1
99,6,16,64,0,-1
100,6,8,16,1,76.16972923278809
101,1,16,0,1,67.07882881164551
102,6,8,32,1,58.591604232788086
103,1,16,0,1,83.96387100219727
104,6,4,8,1,46.87666893005371
105,1,4,0,1,62.216997146606445
106,6,32,32,1,56.96606636047363
107,1,32,0,0,-1
109,1,8,0,1,28.299808502197266
108,6,4,8,1,42.59324073791504
110,6,32,64,0,19.170284271240234
111,6,8,8,0,16.200780868530273
112,1,16,0,0,27.039051055908203
113,6,32,32,0,12.689352035522461
114,6,32,64,0,22.545576095581055
115,1,8,0,0,17.74120330810547
116,1,16,0,0,40.62032699584961
117,1,32,0,0,83.27054977416992
121,1,8,0,0,28.655052185058594
118,6,4,16,0,43.70999336242676
119,6,32,64,0,57.56855010986328
120,6,32,16,0,58.06374549865723
122,6,16,16,2,95.83020210266113
123,6,32,8,0,-1
124,1,32,0,1,77.80313491821289
125,6,16,16,1,58.80880355834961
126,6,4,16,0,48.50268363952637
127,1,32,0,0,66.16711616516113
128,6,32,32,0,-1
129,1,4,0,0,37.842512130737305
130,6,4,16,0,12.070894241333008
131,1,32,0,0,59.8146915435791
132,6,8,64,0,57.7695369720459
133,6,4,64,0,11.567115783691406
134,1,8,0,0,30.282974243164062
135,1,32,0,0,78.95088195800781
137,1,4,0,0,68.18413734436035
136,6,16,32,0,68.9401626586914
139,1,8,0,1,54.1837215423584
138,6,16,32,1,77.93450355529785
141,1,4,0,1,69.80681419372559
140,6,8,16,1,71.44999504089355
142,1,4,0,1,82.14592933654785
144,6,16,32,1,35.72392463684082
143,1,8,0,1,101.87864303588867
146,6,16,32,1,59.30495262145996
145,1,8,0,1,77.47483253479004
147,6,4,8,1,68.52316856384277
149,1,8,0,1,77.28219032287598
148,6,8,16,1,80.89613914489746
150,1,16,0,1,95.82972526550293
151,6,4,16,1,67.52943992614746
152,1,4,0,0,78.0022144317627
153,1,32,0,1,125.09989738464355
155,6,32,32,1,95.91817855834961
154,1,16,0,1,147.385835647583
157,6,16,64,1,117.74325370788574
156,1,4,0,0,150.06685256958008
158,1,32,0,0,125.84447860717773
159,1,4,0,0,-1
160,6,8,64,1,100.57258605957031
161,6,32,64,0,-1
162,1,32,0,0,-1
163,6,8,32,0,-1
164,6,4,64,1,66.83063507080078
165,1,32,0,1,70.82056999206543
166,6,16,8,1,63.68231773376465
167,6,8,64,0,80.21426200866699
168,6,32,16,0,76.11298561096191
169,6,4,8,2,94.23136711120605
172,1,16,0,1,45.606136322021484
170,6,4,8,1,99.2119312286377
171,6,32,64,0,-1
173,6,8,8,0,30.208826065063477
174,1,16,0,0,27.515888214111328
176,1,16,0,0,37.70184516906738
175,6,4,16,0,53.160667419433594
177,6,8,8,0,49.65853691101074
178,6,32,32,0,48.45690727233887
179,6,8,16,0,13.701677322387695
180,1,32,0,0,52.66833305358887
181,6,8,32,0,41.16678237915039
182,6,32,16,0,34.48176383972168
183,6,16,64,0,25.4213809967041
184,1,8,0,0,37.268877029418945
187,1,32,0,0,63.07101249694824
185,6,8,8,0,77.21519470214844
186,6,4,8,0,87.46623992919922
188,1,4,0,0,79.32090759277344
189,1,16,0,0,96.08316421508789
190,1,16,0,0,26.614904403686523
191,1,32,0,0,80.9488296508789
192,6,16,64,0,78.62544059753418
194,1,8,0,1,90.14892578125
193,6,8,32,1,93.55831146240234
195,6,32,64,0,-1
198,1,4,0,0,34.391164779663086
196,6,8,16,0,100.87919235229492
199,1,8,0,1,56.17833137512207
197,6,4,64,1,118.18385124206543
200,1,4,0,1,75.37078857421875
201,6,16,64,1,56.351423263549805
205,1,16,0,0,55.4203987121582
202,6,32,64,0,69.10252571105957
206,1,32,0,1,99.97940063476562
203,6,32,16,1,121.23799324035645
207,1,32,0,1,147.35817909240723
204,6,4,8,1,165.7736301422119
208,1,16,0,0,102.99134254455566
209,1,4,0,1,117.23661422729492
210,6,32,32,1,98.4957218170166
213,1,16,0,1,114.90821838378906
